Probe	Ensembl	chromosome_name
DPM1_IL3909395	ENSG00000000419	20
SCYL3_IL2443537	ENSG00000000457	1
C1orf112_IL2366581	ENSG00000000460	1
FGR_IL2403215	ENSG00000000938	1
CFH_IL2373336	ENSG00000000971	1
FUCA2_IL2977510	ENSG00000001036	6
GCLC_IL2957700	ENSG00000001084	6
NFYA_IL2906607	ENSG00000001167	6
NIPAL3_IL2325410	ENSG00000001461	1
ENPP4_IL2909020	ENSG00000001561	6
CYP51A1_IL3060994	ENSG00000001630	7
KRIT1_IL3061046	ENSG00000001631	7
BAD_IL3376832	ENSG00000002330	11
LAP3_IL2720145	ENSG00000002549	4
HS3ST1_IL2760869	ENSG00000002587	4
WNT16_IL3021269	ENSG00000002745	7
MAD1L1_IL3035464	ENSG00000002822	7
LASP1_IL3719980	ENSG00000002834	17
SNX11_IL3725083	ENSG00000002919	17
TMEM176B_IL3079172	ENSG00000002933	7
M6PR_IL3443296	ENSG00000003056	12
CYP26B1_IL2559189	ENSG00000003137	2
ICA1_IL3038065	ENSG00000003147	7
DBNDD1_IL3705151	ENSG00000003249	16
ALS2_IL2595042	ENSG00000003393	2
CASP10_IL2522693	ENSG00000003400	2
TFPI_IL2591421	ENSG00000003436	2
RBM5_IL2622469	ENSG00000003756	3
ARF5_IL3022409	ENSG00000004059	7
SLC46A1_IL3750685	ENSG00000004139	17
POLDIP2_IL3750625	ENSG00000004142	17
PLXND1_IL2694817	ENSG00000004399	3
AK2_IL2405364	ENSG00000004455	1
CD38_IL2719656	ENSG00000004468	4
FKBP4_IL3401099	ENSG00000004478	12
RBM6_IL2622435	ENSG00000004534	3
CAMKK1_IL3741715	ENSG00000004660	17
RECQL_IL3446796	ENSG00000004700	12
CCDC132_IL3012819	ENSG00000004766	7
ARHGAP33_IL3830864	ENSG00000004777	19
NDUFAB1_IL3685306	ENSG00000004779	16
PDK4_IL3062082	ENSG00000004799	7
SLC22A16_IL2969406	ENSG00000004809	6
ZMYND10_IL2675239	ENSG00000004838	3
SLC25A13_IL3062193	ENSG00000004864	7
ST7_IL3020496	ENSG00000004866	7
